event_type	event_stARrttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	ARr_mcintoshcls	ARr_mtwilsoncls	ARr_zurichcls	ARr_penumbrARcls	ARr_compARctnesscls	ARr_noARARclARss	ARr_noARARnum	ARr_numspots	ARr_polARrity	ARr_spotARreARrARw	ARr_spotARreARrARwuncert	ARr_spotARreARrARwunit	ARr_spotARreARrepr	ARr_spotARreARrepruncert
AR	2012-01-01T03:00:13	POINT(-141.281 -359.882)	POLYGON((-291.9 -492.9,-39.3 -492.9,-39.3 -219.3,-291.9 -219.3,-291.9 -492.9))	POLYGON((-291.9 -297.3,-291.3 -296.7,-262.5 -296.1,-200.7 -260.1,-243.3 -300.3,-228.3 -356.1,-147.3 -405.9,-122.1 -378.9,-134.7 -273.3,-105.9 -230.7,-48.9 -221.7,-40.5 -243.3,-119.1 -282.9,-112.5 -332.1,-89.1 -353.1,-98.7 -381.3,-83.7 -420.9,-125.1 -439.5,-145.5 -491.1,-194.7 -480.9,-165.3 -437.1,-167.7 -416.1,-207.9 -387.9,-272.7 -375.3,-251.1 -328.5,-291.9 -297.3))	POINT(-9.1190179 -24.47972)	POLYGON((-20.826065 -33.002866,-2.748449 -33.178742,-2.390291 -15.891605,-18.036883 -15.753481,-20.826065 -33.002866))	POLYGON((-18.550395 -20.479446,-18.506328 -20.443283,-16.618575 -20.434564,-12.461266 -18.288895,-15.399783 -20.709225,-14.804745 -24.184277,-9.753368 -27.40228,-7.951443 -25.690291,-8.368268 -19.128251,-6.475096 -16.561045,-2.976788 -16.03432,-2.482006 -17.336228,-7.420515 -19.720507,-7.154241 -22.75506,-5.717744 -24.074968,-6.42913 -25.852021,-5.575163 -28.398184,-8.447561 -29.593822,-10.20733 -33.016568,-13.605222 -32.294538,-11.172993 -29.414234,-11.187622 -28.047705,-13.686396 -26.210547,-17.947048 -25.352854,-16.103964 -22.442746,-18.550395 -20.479446))	SPoCAR_v1.0_AR_0000003963							null	null	null	null	null		null	null
AR	2012-01-01T03:00:13	POINT(943.677 234.771)	POLYGON((934.5 194.1,952.5 194.1,952.5 266.1,934.5 266.1,934.5 194.1))	POLYGON((934.5 265.5,935.1 266.1,945.3 249.3,951.9 194.1,934.5 265.5))	POINT(84.524655 13.660513)	POLYGON((77.061804 10.820099,84.421844 11.202915,88.89271 15.57262,83.77866 15.527806,77.061804 10.820099))	POLYGON((83.666502 15.485212,84.206252 15.550378,88.940086 14.739105,84.003799 11.180992,83.666502 15.485212))	SPoCAR_v1.0_AR_0000003989							null	null	null	null	null		null	null
AR	2012-01-01T03:00:13	POINT(436.441 -309.358)	POLYGON((371.1 -344.7,507.3 -344.7,507.3 -261.3,371.1 -261.3,371.1 -344.7))	POLYGON((371.1 -328.5,371.7 -327.9,420.3 -293.1,459.3 -293.1,478.5 -261.3,507.3 -270.3,469.5 -332.1,403.5 -328.5,376.5 -344.7,371.1 -328.5))	POINT(28.52529 -21.025515)	POLYGON((24.372958 -23.312474,34.286679 -23.074265,33.008021 -17.969295,23.50743 -18.192661,24.372958 -23.312474))	POLYGON((24.181251 -22.306125,24.215855 -22.26814,27.190232 -20.055757,29.946443 -19.99054,30.926998 -18.024094,33.125408 -18.513789,31.238622 -22.368725,26.440562 -22.258608,24.75003 -23.304782,24.181251 -22.306125))	SPoCAR_v1.0_AR_0000003927							null	null	null	null	null		null	null
AR	2012-01-01T03:00:13	POINT(-459.324 -317.119)	POLYGON((-551.7 -425.1,-399.9 -425.1,-399.9 -213.9,-551.7 -213.9,-551.7 -425.1))	POLYGON((-551.7 -353.1,-551.1 -352.5,-482.1 -285.9,-479.7 -252.9,-434.7 -213.9,-414.3 -219.9,-399.9 -263.7,-437.7 -312.9,-403.5 -360.9,-408.9 -375.3,-440.7 -400.5,-490.5 -384.3,-525.3 -425.1,-539.7 -420.9,-551.7 -353.1))	POINT(-30.272753 -21.462937)	POLYGON((-39.705011 -28.043166,-27.661295 -28.366983,-25.045805 -15.30084,-35.700379 -15.031464,-39.705011 -28.043166))	POLYGON((-37.929146 -23.495617,-37.868323 -23.459755,-31.494855 -19.50995,-30.914833 -17.51463,-27.393991 -15.248928,-26.060616 -15.639091,-25.47467 -18.297981,-28.660972 -21.24108,-26.878131 -24.276491,-27.482608 -25.173284,-30.26492 -26.715871,-33.753563 -25.589432,-37.487348 -28.110443,-38.574144 -27.804795,-37.929146 -23.495617))	SPoCAR_v1.0_AR_0000003988							null	null	null	null	null		null	null
AR	2012-01-01T03:00:13	POINT(-857.939 225.256)	POLYGON((-902.7 173.7,-813.9 173.7,-813.9 278.7,-902.7 278.7,-902.7 173.7))	POLYGON((-902.7 210.3,-902.1 210.9,-873.9 221.7,-863.1 266.1,-830.7 278.7,-813.9 234.9,-824.1 207.9,-858.9 223.5,-884.7 173.7,-902.7 210.3))	POINT(-63.860415 12.037237)	POLYGON((-69.427649 9.214402,-57.359447 8.646344,-59.588841 15.084613,-73.893842 15.784152,-69.427649 9.214402))	POLYGON((-70.572358 11.463959,-70.48167 11.495523,-66.093794 11.930097,-65.918327 14.614481,-61.734759 15.184569,-58.472344 12.369059,-59.112542 10.771343,-63.947861 11.935478,-66.489322 9.07084,-70.572358 11.463959))	SPoCAR_v1.0_AR_0000003996							null	null	null	null	null		null	null
AR	2012-01-01T03:00:13	POINT(71.5594 212.185)	POLYGON((-4.5 178.5,159.3 178.5,159.3 239.7,-4.5 239.7,-4.5 178.5))	POLYGON((-4.5 208.5,-3.9 209.1,18.9 237.9,45.3 239.7,105.3 212.7,157.5 230.7,150.3 198.3,113.7 178.5,88.5 206.1,5.1 194.1,-4.5 208.5))	POINT(4.2475886 9.5560919)	POLYGON((-0.265443 7.537038,9.44082 7.578089,9.543086 11.244239,-0.268278 11.201911,-0.265443 7.537038))	POLYGON((-0.266683 9.32706,-0.231149 9.362972,1.126416 11.093899,2.701702 11.205281,6.257905 9.596743,9.416651 10.700734,8.929553 8.753998,6.7228 7.557861,5.250236 9.196173,0.301527 8.466432,-0.266683 9.32706))	SPoCAR_v1.0_AR_0000004006							null	null	null	null	null		null	null
AR	2012-01-01T07:00:13	POINT(-44.0415 -239.99)	POLYGON((-94.5 -282.3,0.9 -282.3,0.9 -178.5,-94.5 -178.5,-94.5 -282.3))	POLYGON((-94.5 -271.5,-93.9 -270.9,-52.5 -221.7,-54.3 -178.5,-2.1 -239.7,-87.9 -285.3,-94.5 -271.5))	POINT(-2.6965358 -17.155441)	POLYGON((-5.881275 -19.712067,0.055917 -19.727079,0.05412 -13.476259,-5.691716 -13.461978,-5.881275 -19.712067))	POLYGON((-5.85736 -19.053425,-5.818756 -19.017084,-3.196454 -16.053225,-3.266953 -13.471553,-0.128521 -17.141111,-5.47562 -19.897463,-5.85736 -19.053425))	SPoCAR_v1.0_AR_0000004016							null	null	null	null	null		null	null
AR	2012-01-01T07:00:13	POINT(-429.002 -315.482)	POLYGON((-524.1 -434.1,-372.3 -434.1,-372.3 -191.7,-524.1 -191.7,-524.1 -434.1))	POLYGON((-524.1 -351.9,-523.5 -351.3,-453.3 -283.5,-452.7 -250.5,-424.5 -228.3,-417.3 -191.7,-378.9 -222.9,-375.3 -267.3,-409.5 -322.5,-374.7 -357.9,-375.3 -380.1,-407.7 -403.5,-452.7 -380.1,-476.7 -383.7,-486.9 -429.3,-512.7 -434.1,-507.9 -377.7,-524.1 -351.9))	POINT(-28.079475 -21.431646)	POLYGON((-37.636356 -28.708927,-25.776162 -29.012579,-23.067242 -14.031162,-33.448782 -13.783019,-37.636356 -28.708927))	POLYGON((-35.725224 -23.501091,-35.666704 -23.465106,-29.402095 -19.432687,-28.985785 -17.434305,-26.826102 -16.144646,-26.046043 -13.968614,-23.718425 -15.886533,-23.84528 -18.568576,-26.790583 -21.895808,-24.795235 -24.149812,-25.140406 -25.546456,-27.860555 -26.982826,-30.797059 -25.416084,-32.683312 -25.596378,-34.473444 -28.486334,-36.691085 -28.736839,-34.978769 -25.151811,-35.725224 -23.501091))	SPoCAR_v1.0_AR_0000003988							null	null	null	null	null		null	null
AR	2012-01-01T07:00:13	POINT(946.044 239.987)	POLYGON((939.9 199.5,954.9 199.5,954.9 263.7,939.9 263.7,939.9 199.5))	POLYGON((939.9 263.7,940.5 263.7,949.5 231.9,954.9 199.5,939.9 263.7))	POINT(88.965542 14.199785)	POLYGON((79.055738 11.243554,89.101505 11.769859,88.89706 15.401469,88.88362 15.635466,79.055738 11.243554))	POLYGON((88.88362 15.635466,88.884166 15.625973,88.994264 13.691227,89.101505 11.769859,88.88362 15.635466))	SPoCAR_v1.0_AR_0000003989							null	null	null	null	null		null	null
AR	2012-01-01T07:00:13	POINT(-871.579 195.313)	POLYGON((-896.7 161.1,-852.9 161.1,-852.9 225.9,-896.7 225.9,-896.7 161.1))	POLYGON((-896.7 192.3,-896.1 192.9,-879.3 222.3,-854.1 216.3,-855.9 161.1,-896.7 192.3))	POINT(-65.035074 10.284962)	POLYGON((-68.099814 8.390901,-61.815206 8.089272,-63.175862 12.034871,-70.033933 12.370717,-68.099814 8.390901))	POLYGON((-68.906214 10.293904,-68.821029 10.325623,-66.94864 12.000323,-63.094398 11.452405,-62.201562 8.107359,-68.906214 10.293904))	SPoCAR_v1.0_AR_0000004015							null	null	null	null	null		null	null
