event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	ar_mcintoshcls	ar_mtwilsoncls	ar_zurichcls	ar_penumbracls	ar_compactnesscls	ar_noaaclass	ar_noaanum	ar_numspots	ar_polarity	ar_spotarearaw	ar_spotarearawuncert	ar_spotarearawunit	ar_spotarearepr	ar_spotarearepruncert
AR	2013-06-01T01:54:24	POINT(-552.784 203.038)	POLYGON((-572.7 176.1,-530.1 176.1,-530.1 226.5,-572.7 226.5,-572.7 176.1))	POLYGON((-572.7 208.5,-572.1 209.1,-553.5 225.9,-531.3 190.5,-558.9 177.3,-572.7 208.5))	POINT(-36.483358 11.816148)	POLYGON((-37.777867 10.167091,-34.53473 10.143523,-34.98512 13.258459,-38.2869 13.283225,-37.777867 10.167091))	POLYGON((-38.087251 12.165844,-38.04637 12.202645,-36.77422 13.234365,-34.73955 11.030315,-36.722074 10.232904,-38.087251 12.165844))	SPoCA_v1.0_AR_0000008934							null	null	null	null	null		null	null
AR	2013-06-01T01:54:24	POINT(-733.988 194.424)	POLYGON((-790.5 140.7,-696.3 140.7,-696.3 269.1,-790.5 269.1,-790.5 140.7))	POLYGON((-790.5 197.1,-789.9 197.7,-761.1 233.1,-758.1 268.5,-737.7 263.1,-729.9 239.1,-696.9 223.5,-707.1 143.1,-749.7 144.3,-755.7 177.9,-790.5 197.1))	POINT(-52.096481 11.419537)	POLYGON((-57.329306 8.17516,-47.804682 8.08345,-49.765223 16.048401,-60.196082 16.157393,-57.329306 8.17516))	POLYGON((-58.302313 11.64793,-58.243787 11.684367,-55.713972 13.853686,-56.264773 16.076908,-53.866157 15.712027,-52.503242 14.195038,-48.94784 13.189091,-48.823994 8.239215,-52.984425 8.351748,-54.071894 10.421441,-58.302313 11.64793))	SPoCA_v1.0_AR_0000008911							null	null	null	null	null		null	null
AR	2013-06-01T01:54:24	POINT(864.091 190.873)	POLYGON((758.1 67.5,927.9 67.5,927.9 267.9,758.1 267.9,758.1 67.5))	POLYGON((758.1 261.9,758.7 262.5,776.1 266.7,798.9 245.7,809.7 263.7,826.5 251.7,840.3 267.9,896.7 234.9,927.9 111.9,903.3 98.1,898.5 67.5,875.7 75.9,884.7 117.3,869.7 164.1,841.5 167.7,822.3 225.9,780.9 222.3,758.1 261.9))	POINT(68.403179 11.375302)	POLYGON((53.177798 3.68592,79.100691 3.962713,89.537086 16.099814,56.248284 16.038944,53.177798 3.68592))	POLYGON((56.086363 15.659762,56.170538 15.698365,58.329599 15.985743,60.55085 14.692213,62.567422 15.843947,64.540545 15.112805,67.351248 16.163668,77.554758 14.216963,80.547928 6.678076,73.345145 5.754374,71.845543 3.880075,67.876361 4.345366,70.076192 6.885633,68.566054 9.729576,64.26966 9.902304,63.089685 13.485161,57.727848 13.202818,56.086363 15.659762))	SPoCA_v1.0_AR_0000008914							null	null	null	null	null		null	null
AR	2013-06-01T01:54:24	POINT(-206.712 -233.548)	POLYGON((-239.7 -267.9,-121.5 -267.9,-121.5 -207.3,-239.7 -207.3,-239.7 -267.9))	POLYGON((-239.7 -234.9,-239.1 -234.3,-234.3 -207.3,-162.9 -230.1,-128.1 -213.3,-121.5 -224.1,-143.1 -246.9,-186.3 -238.5,-230.1 -267.9,-239.7 -234.9))	POINT(-13.002886 -14.862473)	POLYGON((-15.291471 -17.004436,-7.682038 -17.019752,-7.544973 -13.245635,-15.01405 -13.23043,-15.291471 -17.004436))	POLYGON((-15.130177 -14.941273,-15.088703 -14.904052,-14.668084 -13.231352,-10.202839 -14.653904,-7.969869 -13.615946,-7.578941 -14.285557,-8.996766 -15.70239,-11.716815 -15.173538,-14.664948 -17.006074,-15.130177 -14.941273))	SPoCA_v1.0_AR_0000008935							null	null	null	null	null		null	null
AR	2013-06-01T01:54:24	POINT(-48.495 -294.128)	POLYGON((-96.3 -343.5,-0.3 -343.5,-0.3 -258.3,-96.3 -258.3,-96.3 -343.5))	POLYGON((-96.3 -338.1,-95.7 -337.5,-45.9 -275.1,-2.1 -258.3,-5.1 -275.1,-96.3 -338.1))	POINT(-3.0871688 -18.67977)	POLYGON((-6.266594 -21.838675,-0.019486 -21.842009,-0.018852 -16.422578,-6.062555 -16.419321,-6.266594 -21.838675))	POLYGON((-6.251326 -21.489756,-6.21056 -21.451077,-2.901769 -17.477233,-0.131959 -16.422576,-0.322281 -17.477964,-6.251326 -21.489756))	SPoCA_v1.0_AR_0000008918							null	null	null	null	null		null	null
AR	2013-06-01T01:54:24	POINT(862.053 -347.335)	POLYGON((839.7 -366.9,879.9 -366.9,879.9 -314.1,839.7 -314.1,839.7 -366.9))	POLYGON((839.7 -359.7,840.3 -359.1,876.9 -314.1,871.5 -357.3,839.7 -359.7))	POINT(78.270743 -21.645817)	POLYGON((74.256608 -22.961473,89.988591 -22.636459,80.215763 -19.481034,70.102298 -19.577819,74.256608 -22.961473))	POLYGON((73.570531 -22.49633,73.654533 -22.456329,79.136751 -19.491563,83.94228 -22.240926,73.570531 -22.49633))	SPoCA_v1.0_AR_0000008881							null	null	null	null	null		null	null
AR	2013-06-01T01:54:24	POINT(88.0452 -483.609)	POLYGON((57.9 -523.5,136.5 -523.5,136.5 -440.7,57.9 -440.7,57.9 -523.5))	POLYGON((57.9 -489.3,58.5 -488.7,67.5 -449.1,85.5 -440.7,135.9 -471.9,128.7 -486.3,82.5 -523.5,57.9 -489.3))	POINT(6.2225936 -31.248627)	POLYGON((4.220418 -34.092154,9.990978 -34.085838,9.388066 -28.279043,3.967607 -28.284878,4.220418 -34.092154))	POLYGON((4.10512 -31.650433,4.145837 -31.608152,4.652236 -28.858255,5.864438 -28.283372,9.54821 -30.426505,9.134873 -31.434087,6.019143 -34.090734,4.10512 -31.650433))	SPoCA_v1.0_AR_0000008927							null	null	null	null	null		null	null
AR	2013-06-01T05:54:24	POINT(-518.943 209.486)	POLYGON((-551.7 176.1,-485.7 176.1,-485.7 237.3,-551.7 237.3,-551.7 176.1))	POLYGON((-551.7 230.7,-543.9 231.3,-518.7 235.5,-485.7 201.9,-520.5 176.1,-551.7 230.7))	POINT(-33.98446 12.213677)	POLYGON((-36.165311 10.171622,-31.289123 10.139227,-31.787351 13.925644,-36.767513 13.960065,-36.165311 10.171622))	POLYGON((-36.691922 13.548582,-36.095304 13.581575,-34.22078 13.829781,-31.477458 11.728488,-33.824926 10.155561,-36.691922 13.548582))	SPoCA_v1.0_AR_0000008934							null	null	null	null	null		null	null
AR	2013-06-01T05:54:24	POINT(-704.496 187.665)	POLYGON((-751.5 138.9,-669.3 138.9,-669.3 242.1,-751.5 242.1,-751.5 138.9))	POLYGON((-751.5 197.1,-750.9 197.7,-714.3 242.1,-684.3 237.3,-669.3 205.5,-693.3 149.1,-734.1 140.7,-751.5 197.1))	POINT(-49.120838 10.987836)	POLYGON((-53.108924 8.035457,-45.385226 7.966583,-46.69863 14.340598,-54.867527 14.41833,-53.108924 8.035457))	POLYGON((-53.954661 11.615216,-53.901928 11.651751,-50.988574 14.380293,-48.00253 14.05286,-46.133148 12.061785,-47.618636 8.608595,-51.385066 8.129281,-53.954661 11.615216))	SPoCA_v1.0_AR_0000008911							null	null	null	null	null		null	null
AR	2013-06-01T05:54:24	POINT(859.202 197.966)	POLYGON((733.5 67.5,923.7 67.5,923.7 279.9,733.5 279.9,733.5 67.5))	POLYGON((733.5 240.3,734.1 240.9,750.9 279.9,777.3 245.7,838.5 249.3,848.1 269.1,882.9 236.1,891.9 248.1,906.9 234.3,923.7 111.3,908.7 68.1,888.9 75.3,880.5 164.7,852.9 170.7,828.3 222.9,797.1 220.5,768.3 242.7,740.1 224.1,733.5 240.3))	POINT(67.816361 11.814486)	POLYGON((50.75215 3.676222,77.803789 3.952086,89.525142 16.853393,53.848783 16.783154,50.75215 3.676222))	POLYGON((52.907751 14.286468,52.983091 14.324665,55.771715 16.802765,57.892318 14.674336,66.292671 14.991019,68.755141 16.263586,74.02973 14.254708,77.144538 15.042507,81.094681 14.226716,79.04215 6.627724,74.001117 3.946334,70.138229 4.340858,70.51818 9.795732,66.034383 10.114615,63.852414 13.316293,59.644854 13.121984,56.764262 14.475099,53.263306 13.280867,52.907751 14.286468))	SPoCA_v1.0_AR_0000008914							null	null	null	null	null		null	null
