event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid
CH	2013-11-01T00:13:55	POINT(49.7552 963.446)	POLYGON((-25.5 960.900005,83.7 960.900005,83.7 965.699995,-25.5 965.699995,-25.5 960.900005))	POLYGON((-25.5 965.7,-24.9 965.7,42.9 965.1,70.5 960.9,-25.5 965.7))	POINT(83.348282 87.031025)	POLYGON((-36.447391 87.456845,88.108137 85.032496,50.421256 83.567593,-39.799551 87.638847,-36.447391 87.456845))	POLYGON((-39.799551 87.638847,-39.488239 87.67943,54.174405 86.863497,81.056047 85.768487,-39.799551 87.638847))	SPoCA_v1.0_CH_0000012412
CH	2013-11-01T00:13:55	POINT(32.5497 -559.273)	POLYGON((-17.1 -660.3,98.1 -660.3,98.1 -442.5,-17.1 -442.5,-17.1 -660.3))	POLYGON((-17.1 -581.7,-16.5 -581.1,4.5 -564.9,-5.1 -534.3,15.3 -509.7,-1.5 -443.1,48.9 -468.9,49.5 -504.9,98.1 -566.1,12.3 -660.3,-17.1 -581.7))	POINT(2.2380061 -30.813354)	POLYGON((-1.290839 -38.515685,7.429843 -38.555419,6.291343 -22.765267,-1.09427 -22.738031,-1.290839 -38.515685))	POLYGON((-1.1965 -32.450906,-1.15394 -32.4065,0.310645 -31.218081,-0.344295 -29.022035,1.016329 -27.297372,-0.09601 -22.777019,3.173552 -24.511117,3.280161 -26.971528,6.796964 -31.338916,0.92845 -38.515086,-1.1965 -32.450906))	SPoCA_v1.0_CH_0000012295
CH	2013-11-01T00:13:55	POINT(-66.9656 185.659)	POLYGON((-119.1 142.5,-0.9 142.5,-0.9 248.7,-119.1 248.7,-119.1 142.5))	POLYGON((-119.1 176.1,-118.5 176.7,-87.9 248.7,-56.1 216.3,-26.1 210.9,-3.3 144.3,-69.3 154.5,-94.5 142.5,-119.1 176.1))	POINT(-4.1007216 15.387136)	POLYGON((-7.223335 12.780464,-0.054445 12.814379,-0.056227 19.215294,-7.460485 19.17968,-7.223335 12.780464))	POLYGON((-7.286293 14.789643,-7.250611 14.825978,-5.499445 19.195931,-3.467246 17.238276,-1.609543 16.917717,-0.199719 12.921722,-4.20824 13.519246,-5.725927 12.793059,-7.286293 14.789643))	SPoCA_v1.0_CH_0000012332
CH	2013-11-01T00:13:55	POINT(323.043 901.896)	POLYGON((159.3 843.9,469.5 843.9,469.5 952.5,159.3 952.5,159.3 843.9))	POLYGON((159.3 952.5,159.9 952.5,319.5 911.7,467.7 843.9,366.9 873.3,324.3 907.5,159.3 952.5))	POINT(78.537973 70.079837)	POLYGON((22.591049 64.660156,88.30894 60.940892,81.788787 63.468227,81.933021 80.422876,22.591049 64.660156))	POLYGON((81.933021 80.422876,81.213719 80.368289,85.150312 70.634794,89.789721 61.078851,70.373786 66.264361,87.795929 70.394072,81.933021 80.422876))	SPoCA_v1.0_CH_0000012369
CH	2013-11-01T00:13:55	POINT(-439.466 210.556)	POLYGON((-571.5 53.1,-216.9 53.1,-216.9 435.3,-571.5 435.3,-571.5 53.1))	POLYGON((-571.5 423.3,-570.9 423.9,-555.9 433.5,-560.7 404.7,-544.5 383.7,-488.7 423.3,-411.3 373.5,-399.9 319.5,-421.5 276.9,-420.9 233.1,-386.7 209.1,-335.7 228.3,-314.1 152.1,-282.9 146.7,-261.9 117.9,-218.1 112.5,-229.5 74.7,-391.5 59.7,-434.1 84.3,-476.1 53.1,-548.7 63.3,-516.9 192.3,-567.9 300.3,-571.5 423.3))	POINT(-28.157992 16.397052)	POLYGON((-36.362923 6.667774,-13.014587 7.400619,-15.089624 30.87568,-42.834066 29.920803,-36.362923 6.667774))	POLYGON((-42.429071 29.148172,-42.395044 29.189323,-41.372407 29.872301,-40.897016 28.00416,-38.936605 26.735032,-35.349605 29.468663,-28.266145 26.507092,-26.618197 23.144702,-27.611937 20.466159,-27.089502 17.801673,-24.535526 16.428017,-21.278279 17.685473,-19.400301 13.144912,-17.386963 12.869719,-15.956037 11.18462,-13.220686 10.915313,-13.829226 8.66362,-23.998545 7.52773,-26.908497 8.889937,-29.608094 6.946092,-34.752034 7.34255,-33.4776 15.092162,-38.97119 21.458228,-42.429071 29.148172))	SPoCA_v1.0_CH_0000012325
CH	2013-11-01T00:13:55	POINT(-1.65 399.104)	POLYGON((-448.5 282.3,430.5 282.3,430.5 585.9,-448.5 585.9,-448.5 282.3))	POLYGON((-448.5 564.9,-447.9 565.5,-415.5 585.9,-369.9 548.1,-320.1 545.7,-272.1 507.3,-195.3 490.5,-162.9 507.3,-88.5 437.1,-12.9 426.3,36.9 387.3,70.5 400.5,116.1 393.9,134.7 440.1,257.7 351.3,308.1 362.7,351.9 349.5,386.7 393.9,428.7 331.5,339.9 300.3,266.1 318.3,232.5 284.1,182.1 296.1,156.9 282.3,0.9 335.1,-42.9 312.3,-77.1 332.1,-88.5 370.5,-153.9 393.3,-192.9 464.1,-324.3 482.1,-351.9 450.3,-369.9 479.1,-400.5 487.5,-398.7 521.7,-448.5 564.9))	POINT(-0.11094845 28.648461)	POLYGON((-29.607814 20.729249,28.317255 20.77509,35.876822 40.760162,-37.584346 40.688539,-29.607814 20.729249))	POLYGON((-36.626745 39.182778,-36.597056 39.227782,-34.477272 40.816649,-29.049457 38.256591,-24.829661 38.21885,-20.181423 35.638524,-14.149982 34.605892,-11.942291 35.799069,-6.112025 31.112393,-0.882861 30.422793,2.464138 27.882206,4.749498 28.724842,7.8034 28.273683,9.343245 31.280128,17.088281 25.404327,20.686001 26.044298,23.603398 25.126251,26.789239 27.869432,28.870116 23.821106,22.198992 22.080915,17.364783 23.321767,14.886307 21.247504,11.672509 22.043794,9.98052 21.213594,0.058386 24.564804,-2.753456 23.132329,-5.00005 24.360415,-5.860119 26.786899,-10.362222 28.205913,-13.678413 32.821479,-23.715847 33.812325,-25.20356 31.623852,-27.202882 33.501567,-29.855024 33.984692,-30.670346 36.325943,-36.626745 39.182778))	SPoCA_v1.0_CH_0000012231
CH	2013-11-01T04:13:55	POINT(-33.3296 186.792)	POLYGON((-87.3 145.5,24.3 145.5,24.3 243.9,-87.3 243.9,-87.3 145.5))	POLYGON((-87.3 167.7,-86.7 168.3,-49.5 243.9,-20.1 216.3,11.1 212.7,24.3 179.1,12.9 154.5,-63.3 145.5,-87.3 167.7))	POINT(-2.0401443 15.446125)	POLYGON((-5.291626 12.958004,1.471068 12.974736,1.515393 18.903526,-5.451303 18.886024,-5.291626 12.958004))	POLYGON((-5.321587 14.284906,-5.285763 14.321091,-3.087974 18.898902,-1.241481 17.227632,0.684754 17.010531,1.484021 14.985304,0.782609 13.513124,-3.83439 12.966614,-5.321587 14.284906))	SPoCA_v1.0_CH_0000012332
CH	2013-11-01T04:13:55	POINT(64.2741 -552.091)	POLYGON((12.9 -659.1,133.5 -659.1,133.5 -438.9,12.9 -438.9,12.9 -659.1))	POLYGON((12.9 -622.5,13.5 -621.9,59.7 -536.1,28.5 -451.5,48.9 -438.9,93.3 -467.7,75.9 -500.7,133.5 -575.1,99.9 -587.1,45.3 -659.1,12.9 -622.5))	POINT(4.399833 -30.320689)	POLYGON((0.972586 -38.432738,10.128419 -38.507749,8.563612 -22.565816,0.824097 -22.514536,0.972586 -38.432738))	POLYGON((0.936201 -35.545374,0.979177 -35.499152,4.039496 -29.176467,1.832318 -23.354105,3.125514 -22.520966,6.060847 -24.464529,5.02129 -26.706909,9.339611 -32.041736,7.042642 -32.901061,3.417629 -38.440679,0.936201 -35.545374))	SPoCA_v1.0_CH_0000012295
CH	2013-11-01T04:13:55	POINT(301.634 909.49)	POLYGON((174.3 864.9,428.1 864.9,428.1 949.5,174.3 949.5,174.3 864.9))	POLYGON((174.3 947.1,174.9 947.7,287.1 922.5,428.1 864.9,373.5 870.9,329.1 901.5,174.3 947.1))	POINT(78.015436 71.414387)	POLYGON((27.624949 67.167371,89.683443 63.726965,81.088872 65.415291,85.336125 79.582196,27.624949 67.167371))	POLYGON((83.9646 79.560256,86.660416 79.564291,84.298546 72.64087,89.683443 63.726965,70.853565 65.886974,80.835402 69.843735,83.9646 79.560256))	SPoCA_v1.0_CH_0000012369
CH	2013-11-01T04:13:55	POINT(-198.521 312.947)	POLYGON((-542.1 60.3,462.9 60.3,462.9 576.9,-542.1 576.9,-542.1 60.3))	POLYGON((-542.1 303.9,-541.5 304.5,-537.3 396.3,-495.3 389.7,-390.3 508.5,-395.1 542.7,-420.9 564.9,-413.7 576.9,-385.5 561.3,-332.1 562.5,-214.5 503.7,-134.1 503.7,-61.5 440.1,3.9 436.5,72.3 389.1,107.1 398.7,146.1 386.7,174.9 414.3,240.3 378.3,270.3 384.3,270.9 359.7,299.1 346.5,354.3 366.9,386.1 360.3,417.9 396.9,460.5 355.5,459.9 330.9,408.9 309.9,307.5 314.7,271.5 284.1,241.5 282.3,50.1 326.7,12.3 306.3,-15.3 323.1,-39.3 372.3,-117.9 388.5,-165.3 452.7,-215.1 437.7,-232.5 468.3,-313.5 484.5,-370.5 406.5,-356.7 460.5,-388.5 475.5,-426.3 434.7,-407.7 389.7,-375.9 395.7,-396.9 234.9,-359.1 207.9,-307.5 234.3,-301.5 189.9,-265.5 139.5,-231.3 117.3,-187.5 119.7,-178.5 75.9,-205.5 66.9,-260.7 76.5,-285.9 65.7,-318.9 86.1,-365.1 79.5,-402.3 107.1,-432.3 68.7,-512.1 66.3,-482.1 193.5,-542.1 303.9))	POINT(-12.83745 23.056035)	POLYGON((-34.257882 7.171983,28.737492 7.389225,38.520027 39.966006,-46.516334 39.586446,-34.257882 7.171983))	POLYGON((-36.979034 21.75778,-36.942959 21.79673,-38.656679 27.547597,-35.051906 27.276418,-29.581185 35.426186,-31.018415 37.784249,-34.090916 39.269994,-33.921599 40.156082,-30.816596 39.13105,-26.281091 39.369571,-15.744419 35.467858,-9.777376 35.560352,-4.25163 31.304986,0.268718 31.077787,4.836119 27.969482,7.21528 28.57194,9.79096 27.769726,11.949017 29.530443,16.146764 27.127673,18.288068 27.46762,18.069938 25.899072,19.87562 25.019647,24.003686 26.204407,26.199477 25.716551,29.178608 27.96686,31.634935 25.221402,31.160842 23.684441,27.128313 22.512276,20.127212 23.015517,17.449071 21.178471,15.461239 21.108389,3.237635 24.013014,0.786876 22.74546,-0.986573 23.793502,-2.60113 26.901418,-7.897497 27.906517,-11.591838 32.071715,-14.98382 31.018881,-16.600911 33.032805,-22.926799 33.981147,-25.797888 28.702312,-25.766421 32.273074,-28.583292 33.194642,-30.615998 30.389913,-28.27602 27.532396,-26.014652 27.994391,-25.450421 17.94889,-22.675614 16.394476,-19.458563 18.080432,-18.787351 15.410319,-16.257838 12.447943,-14.048779 11.16929,-11.355668 11.356131,-10.716244 8.767746,-12.343142 8.210915,-15.757228 8.716665,-17.295942 8.044764,-19.430401 9.201921,-22.358119 8.732603,-24.904641 10.293151,-26.716788 7.957126,-32.157587 7.613876,-30.98269 15.248389,-36.979034 21.75778))	SPoCA_v1.0_CH_0000012325
