event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	ef_pospeakfluxonsetrate	ef_negpeakfluxonsetrate	ef_onsetrateunit	ef_sumpossignedflux	ef_sumnegsignedflux	ef_fluxunit	ef_axisorientation	ef_axisorientationunit	ef_axislength	ef_posequivradius	ef_negequivradius	ef_lengthunit	ef_aspectratio	ef_proximityratio
EF	2013-02-01T01:23:15	POINT(317.5212 228.954)	POLYGON((305.2902 223.8162,325.707 223.0698,325.3956 229.7394,304.998 230.4852,305.2902 223.8162))		POINT(19.1282 7.84252)	POLYGON((18.34891 7.505778,19.62529 7.505778,19.62529 7.907742,18.34891 7.907742,18.34891 7.505778))		141	21.6548	-14.1082	emx/hr	2.34951	-9.13235	emx	0.389096	degrees CCW from + pole west in local solar frame	1.20585	0.596237	0.516356	cm	2.16763	0.405536
EF	2013-02-01T02:23:15	POINT(-611.832 277.767)	POLYGON((-663.318 193.8702,-564.8484 202.4688,-554.181 302.4546,-650.796 293.9796,-663.318 193.8702))		POINT(-39.7801 11.9056)	POLYGON((-43.15827 7.062625,-35.60853 7.062625,-35.60853 13.146775,-43.15827 13.146775,-43.15827 7.062625))		152	1447.14	-17.5529	emx/hr	112.016	-16.7103	emx	2.85079	degrees CCW from + pole west in local solar frame	3.77694	5.91888	0.576709	cm	1.16293	0.179085
EF	2013-02-01T02:23:15	POINT(13.36782 -261.7032)	POLYGON((5.008656 -273.9828,17.3085 -273.999,17.45832 -253.6482,5.052012 -253.6326,5.008656 -273.9828))		POINT(0.841741 -21.551)	POLYGON((0.317042 -22.299565,1.095672 -22.299565,1.095672 -21.061435,0.317042 -21.061435,0.317042 -22.299565))		150	14.0409	-5.23944	emx/hr	5.94488	-5.47801	emx	-1.53176	degrees CCW from + pole west in local solar frame	1.31996	0.668694	0.299049	cm	2.72791	0.517713
EF	2013-02-01T03:11:15	POINT(-491.8626 -342.9552)	POLYGON((-504.4008 -388.5726,-447.0378 -384.6264,-463.938 -316.2582,-523.4658 -320.3664,-504.4008 -388.5726))		POINT(-33.9109 -25.5929)	POLYGON((-35.909755 -28.370385,-31.313045 -28.370385,-31.313045 -24.067215,-35.909755 -24.067215,-35.909755 -28.370385))		156	562.26	-142.917	emx/hr	-1.05249	-74.5007	emx	-2.49508	degrees CCW from + pole west in local solar frame	1.0667	2.94723	1.05528	cm	0.533015	0.303205
EF	2013-02-01T05:23:15	POINT(-479.4468 -342.3402)	POLYGON((-493.4394 -383.1714,-440.0874 -379.6092,-455.6886 -314.8596,-510.9288 -318.5592,-493.4394 -383.1714))		POINT(-32.9494 -25.6131)	POLYGON((-34.90589 -28.088425,-30.68211 -28.088425,-30.68211 -24.018975,-34.90589 -24.018975,-34.90589 -28.088425))		173	562.344	-67.1012	emx/hr	36.6004	-31.5754	emx	-2.48082	degrees CCW from + pole west in local solar frame	1.17237	2.91241	0.938754	cm	0.60884	0.197948
EF	2013-02-01T06:59:15	POINT(-528.048 -480.465)	POLYGON((-532.0656 -495.9546,-511.3848 -494.1138,-520.1472 -473.1888,-541.1814 -475.0626,-532.0656 -495.9546))		POINT(-40.7587 -34.1236)	POLYGON((-41.74211 -35.11297,-39.78029 -35.11297,-39.78029 -33.69503,-41.74211 -33.69503,-41.74211 -35.11297))		181	64.2757	-32.3627	emx/hr	5.99309	-12.5323	emx	-2.44457	degrees CCW from + pole west in local solar frame	1.72799	0.816032	0.729881	cm	2.23555	0.276217
EF	2013-02-01T07:23:15	POINT(-700.464 314.4192)	POLYGON((-717.018 305.589,-690.432 308.7636,-688.554 318.3234,-715.068 315.1554,-717.018 305.589))		POINT(-47.8741 14.7713)	POLYGON((-49.26746 14.337357,-46.84974 14.337357,-46.84974 14.931643,-49.26746 14.931643,-49.26746 14.337357))		182	30.5064	-35.9665	emx/hr	22.942	9.81739	emx	2.84231	degrees CCW from + pole west in local solar frame	2.4352	0.87899	0.358846	cm	3.9346	0.707667
EF	2013-02-01T07:35:15	POINT(-20.65602 -831.894)	POLYGON((-35.62794 -846.624,-13.65324 -846.486,-15.13956 -822.084,-39.50646 -822.234,-35.62794 -846.624))		POINT(-2.81575 -64.4879)	POLYGON((-5.18489 -66.17933,-1.98461 -66.17933,-1.98461 -63.40027,-5.18489 -63.40027,-5.18489 -66.17933))		186	29.812	-17.4647	emx/hr	12.2463	-9.40492	emx	-1.61443	degrees CCW from + pole west in local solar frame	3.19591	0.883053	0.624413	cm	4.24011	0.753494
EF	2013-02-01T07:35:15	POINT(-213.2964 -19.62666)	POLYGON((-231.3744 -27.21114,-203.0154 -26.52492,-203.4786 -8.2056,-231.9024 -8.89398,-231.3744 -27.21114))		POINT(-12.6899 -7.05479)	POLYGON((-13.799165 -7.47265,-12.080035 -7.47265,-12.080035 -6.39939,-13.799165 -6.39939,-13.799165 -7.47265))		185	33.9658	-14.76	emx/hr	27.338	-13.3582	emx	-2.6342	degrees CCW from + pole west in local solar frame	1.82108	0.655396	0.586204	cm	2.93343	0.487134
EF	2013-02-01T11:59:15	POINT(-527.3382 111.2286)	POLYGON((-536.6706 95.5878,-517.197 96.9126,-516.9306 119.7294,-536.3946 118.4046,-536.6706 95.5878))		POINT(-32.6523 1.43136)	POLYGON((-33.2952 0.54539,-31.938 0.54539,-31.938 1.89303,-33.2952 1.89303,-33.2952 0.54539))		210	62.1683	-22.2575	emx/hr	3.49802	-10.441	emx	3.09778	degrees CCW from + pole west in local solar frame	2.04313	0.832164	0.44481	cm	3.19996	0.624365
