event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	fl_peakflux	fl_peakfluxunit	fl_peaktemp	fl_peaktempunit	fl_peakem	fl_peakemunit	fl_efoldtime	fl_efoldtimeunit	fl_fluence	fl_fluenceunit
FL	2013-10-01T00:25:58	POINT(883.2 192)	POLYGON((844.8 153.6,921.6 153.6,921.6 230.4,844.8 230.4,844.8 153.6))		POINT(71.31141 13.771321)	POLYGON((64.143894 12.194907,77.827845 10.696014,83.564529 14.753444,66.660518 16.636392,64.143894 12.194907))			43.1128	erg/cm/cm/s	null		null		null		null	
FL	2013-10-01T05:13:58	POINT(-192 -345.6)	POLYGON((-230.4 -384,-153.6 -384,-153.6 -307.2,-230.4 -307.2,-230.4 -384))		POINT(-11.888462 -14.481504)	POLYGON((-14.4988 -17.028246,-9.600654 -16.901576,-9.38764 -11.99316,-14.169909 -12.112386,-14.4988 -17.028246))			30.2367	erg/cm/cm/s	null		null		null		null	
FL	2013-10-01T06:29:34	POINT(-192 -345.6)	POLYGON((-230.4 -384,-153.6 -384,-153.6 -307.2,-230.4 -307.2,-230.4 -384))		POINT(-11.888397 -14.483604)	POLYGON((-14.498741 -17.030275,-9.600616 -16.903653,-9.387576 -11.995323,-14.169809 -12.114503,-14.498741 -17.030275))			54.8482	erg/cm/cm/s	null		null		null		null	
FL	2013-10-01T07:43:34	POINT(-192 -268.8)	POLYGON((-230.4 -307.2,-153.6 -307.2,-153.6 -230.4,-230.4 -230.4,-230.4 -307.2))		POINT(-11.671119 -9.6513254)	POLYGON((-14.169711 -12.116581,-9.387512 -11.997446,-9.253882 -7.230625,-13.962954 -7.344731,-14.169711 -12.116581))			25.9931	erg/cm/cm/s	null		null		null		null	
FL	2013-10-01T08:59:10	POINT(-192 -345.6)	POLYGON((-230.4 -384,-153.6 -384,-153.6 -307.2,-230.4 -307.2,-230.4 -384))		POINT(-11.88827 -14.487776)	POLYGON((-14.498625 -17.034305,-9.600544 -16.90778,-9.387448 -11.999619,-14.169612 -12.118708,-14.498625 -17.034305))			43.7615	erg/cm/cm/s	null		null		null		null	
FL	2013-10-01T12:22:46	POINT(-192 -268.8)	POLYGON((-230.4 -307.2,-76.8 -307.2,-76.8 -230.4,-230.4 -230.4,-230.4 -307.2))		POINT(-11.670756 -9.6594519)	POLYGON((-14.169346 -12.124464,-4.676423 -11.935203,-4.610761 -7.171584,-13.962435 -7.352908,-14.169346 -12.124464))			22.9788	erg/cm/cm/s	null		null		null		null	
FL	2013-10-01T18:01:34	POINT(-115.2 -345.6)	POLYGON((-153.6 -384,-76.8 -384,-76.8 -307.2,-153.6 -307.2,-153.6 -384))		POINT(-7.0962069 -14.406255)	POLYGON((-9.60029 -16.92292,-4.781141 -16.848455,-4.676284 -11.945201,-9.386992 -12.015374,-9.60029 -16.92292))			44.7763	erg/cm/cm/s	null		null		null		null	
FL	2013-10-01T18:05:34	POINT(-960 115.2)	POLYGON((-998.4 76.8,-921.6 76.8,-921.6 153.6,-998.4 153.6,-998.4 76.8))		POINT(-89.466309 6.8271524)	POLYGON((-89.752392 4.399762,-75.035436 6.351556,-77.768892 10.692628,-89.241887 8.717468,-89.752392 4.399762))			56.3822	erg/cm/cm/s	null		null		null		null	
FL	2013-10-01T20:55:46	POINT(-38.4 -345.6)	POLYGON((-76.8 -384,0 -384,0 -307.2,-76.8 -307.2,-76.8 -384))		POINT(-2.3594189 -14.363514)	POLYGON((-4.781103 -16.853443,-2e-06 -16.828843,-2e-06 -11.92719,-4.676212 -11.950384,-4.781103 -16.853443))			32.7828	erg/cm/cm/s	null		null		null		null	
FL	2013-10-01T23:00:34	POINT(-38.4 -345.6)	POLYGON((-76.8 -384,0 -384,0 -307.2,-76.8 -307.2,-76.8 -384))		POINT(-2.3593997 -14.367189)	POLYGON((-4.781076 -16.857035,-2e-06 -16.83245,-2e-06 -11.930936,-4.676162 -11.954114,-4.781076 -16.857035))			29.7692	erg/cm/cm/s	null		null		null		null	
FL	2013-10-02T05:50:46	POINT(-960 115.2)	POLYGON((-998.4 76.8,-921.6 76.8,-921.6 153.6,-998.4 153.6,-998.4 76.8))		POINT(-89.474735 6.8280208)	POLYGON((-89.759771 4.40051,-75.003827 6.347989,-77.729548 10.690205,-89.251141 8.718432,-89.759771 4.40051))			79.594	erg/cm/cm/s	null		null		null		null	
FL	2013-10-02T09:28:46	POINT(-960 115.2)	POLYGON((-998.4 76.8,-921.6 76.8,-921.6 153.6,-998.4 153.6,-998.4 76.8))		POINT(-89.47999 6.8285948)	POLYGON((-89.764687 4.401046,-74.994041 6.346857,-77.717367 10.689428,-89.256667 8.719037,-89.764687 4.401046))			65.8204	erg/cm/cm/s	null		null		null		null	
FL	2013-10-02T10:46:34	POINT(-960 -115.2)	POLYGON((-998.4 -153.6,-921.6 -153.6,-921.6 -76.8,-998.4 -76.8,-998.4 -153.6))		POINT(-88.924517 -6.7638256)	POLYGON((-88.69882 -8.653987,-75.619711 -7.608969,-73.964172 -2.772874,-89.211364 -4.336532,-88.69882 -8.653987))			78.0859	erg/cm/cm/s	null		null		null		null	
FL	2013-10-02T11:29:34	POINT(-960 -115.2)	POLYGON((-998.4 -153.6,-921.6 -153.6,-921.6 -76.8,-998.4 -76.8,-998.4 -153.6))		POINT(-88.926588 -6.7640752)	POLYGON((-88.700951 -8.654244,-75.61781 -7.60902,-73.962487 -2.773048,-89.213365 -4.336773,-88.700951 -8.654244))			55.8673	erg/cm/cm/s	null		null		null		null	
FL	2013-10-02T12:01:22	POINT(729.6 115.2)	POLYGON((691.2 76.8,768 76.8,768 153.6,691.2 153.6,691.2 76.8))		POINT(50.641606 11.13351)	POLYGON((46.705135 9.163922,53.869217 8.531594,55.082338 13.050537,47.702054 13.706444,46.705135 9.163922))			15.3315	erg/cm/cm/s	null		null		null		null	
FL	2013-10-02T12:31:46	POINT(960 268.8)	POLYGON((921.6 230.4,998.4 230.4,998.4 307.2,921.6 307.2,921.6 230.4))		POINT(88.421741 15.566572)	POLYGON((83.36092 14.760296,88.744683 12.937544,88.240386 17.01661,88.072652 18.339211,83.36092 14.760296))			36.155	erg/cm/cm/s	null		null		null		null	
FL	2013-10-02T14:01:34	POINT(-960 115.2)	POLYGON((-998.4 76.8,-921.6 76.8,-921.6 153.6,-998.4 153.6,-998.4 76.8))		POINT(-89.471264 6.8275379)	POLYGON((-89.755598 4.399945,-74.981784 6.34542,-77.702112 10.688438,-89.248215 8.718013,-89.755598 4.399945))			71.5085	erg/cm/cm/s	null		null		null		null	
FL	2013-10-02T14:03:46	POINT(729.6 115.2)	POLYGON((691.2 76.8,768 76.8,768 153.6,691.2 153.6,691.2 76.8))		POINT(50.639262 11.1308)	POLYGON((46.703164 9.161023,53.866812 8.529155,55.079527 13.04807,47.699737 13.703493,46.703164 9.161023))			17.9743	erg/cm/cm/s	null		null		null		null	
FL	2013-10-03T01:12:58	POINT(-883.2 115.2)	POLYGON((-921.6 76.8,-844.8 76.8,-844.8 153.6,-921.6 153.6,-921.6 76.8))		POINT(-68.702369 9.3405756)	POLYGON((-74.951571 6.341788,-62.490647 7.675083,-64.056882 12.153096,-77.664509 10.685914,-74.951571 6.341788))			50.7156	erg/cm/cm/s	null		null		null		null	
FL	2013-10-03T02:23:10	POINT(806.4 115.2)	POLYGON((768 76.8,844.8 76.8,844.8 153.6,768 153.6,768 76.8))		POINT(58.511745 10.382416)	POLYGON((53.852232 8.514234,62.488834 7.674025,64.054769 12.152046,55.062475 13.03298,53.852232 8.514234))			47.8353	erg/cm/cm/s	null		null		null		null	
