event_type	event_starttime	hpc_coord	hpc_bbox	hpc_boundcc	hgs_coord	hgs_bbox	hgs_boundcc	frm_specificid	sg_shape	sg_chirality	sg_orientation	sg_aspectratio	sg_peakcontrast	sg_meancontrast
SG	2013-09-01T02:44:20	POINT(-200.7822 108.579)	POLYGON((-255.3594 54.07302,-150.5532 51.17154,-146.3148 163.1172,-248.1714 165.9246,-255.3594 54.07302))		POINT(-12.4879 13.5552)	POLYGON((-15.7614 10.1735,-9.2144 10.1735,-9.2144 16.9369,-15.7614 16.9369,-15.7614 10.1735))			Inverse-S Sigmoid	null	null	7.76705	null	null
SG	2013-09-01T10:44:20	POINT(297.594 -217.8426)	POLYGON((258.2598 -256.5576,333.2208 -253.4238,336.2568 -178.56,260.613 -181.7136,258.2598 -256.5576))		POINT(18.2728 -6.35652)	POLYGON((15.87544 -8.66582,20.67016 -8.66582,20.67016 -4.04722,15.87544 -4.04722,15.87544 -8.66582))			Inverse-S Sigmoid	null	null	12.2965	null	null
SG	2013-09-01T13:14:20	POINT(-139.3512 -346.8066)	POLYGON((-180.66 -388.4466,-93.963 -390.1254,-96.3072 -304.0938,-185.1672 -302.3778,-180.66 -388.4466))		POINT(-8.65579 -14.1779)	POLYGON((-11.40749 -16.951665,-5.90409 -16.951665,-5.90409 -11.404135,-11.40749 -11.404135,-11.40749 -16.951665))			Inverse-S Sigmoid	null	null	88.0454	null	null
SG	2013-09-01T20:43:56	POINT(40.17852 -382.7202)	POLYGON((-13.83714 -436.6248,92.409 -436.0302,95.9022 -326.8854,-14.36022 -327.5004,-13.83714 -436.6248))		POINT(2.51373 -16.426)	POLYGON((-0.883545 -20.00409,5.911005 -20.00409,5.911005 -12.84791,-0.883545 -12.84791,-0.883545 -20.00409))			Forward-S Sigmoid	null	null	16.7487	null	null
SG	2013-09-02T00:44:20	POINT(-672.792 -318.3222)	POLYGON((-715.974 -366.0306,-598.4796 -382.008,-618.78 -268.8354,-740.238 -252.387,-715.974 -366.0306))		POINT(-46.8038 -14.6338)	POLYGON((-52.26 -18.26815,-41.3476 -18.26815,-41.3476 -10.99945,-52.26 -10.99945,-52.26 -18.26815))			Inverse-S Sigmoid	null	null	7.88865	null	null
SG	2013-09-02T01:44:20	POINT(579.2712 111.4278)	POLYGON((525.7398 60.9882,640.02 72.3534,626.778 162.0252,514.8588 150.9336,525.7398 60.9882))		POINT(38.412 12.3833)	POLYGON((33.957565 9.65971,42.866435 9.65971,42.866435 15.10689,33.957565 15.10689,33.957565 9.65971))			Inverse-S Sigmoid	null	null	7.18413	null	null
SG	2013-09-02T10:14:20	POINT(173.8878 -383.67)	POLYGON((128.3724 -428.7618,213.2094 -426.6666,219.8658 -337.2684,132.3804 -339.4218,128.3724 -428.7618))		POINT(10.952 -16.6095)	POLYGON((8.199985 -19.541145,13.704015 -19.541145,13.704015 -13.677855,8.199985 -13.677855,8.199985 -19.541145))			Forward-S Sigmoid	null	null	12.083	null	null
SG	2013-09-02T12:14:20	POINT(-93.8748 136.0866)	POLYGON((-132.267 97.9398,-57.27924 96.9792,-56.00424 174.2028,-129.3228 175.1394,-132.267 97.9398))		POINT(-5.84779 15.3647)	POLYGON((-8.168165 13.024805,-3.527415 13.024805,-3.527415 17.704595,-8.168165 17.704595,-8.168165 13.024805))			Inverse-S Sigmoid	null	null	6.85655	null	null
SG	2013-09-02T14:44:20	POINT(-68.1876 140.0058)	POLYGON((-104.574 103.8834,-33.069 103.2186,-32.36154 176.0952,-102.3366 176.7438,-104.574 103.8834))		POINT(-4.24927 15.6204)	POLYGON((-6.459745 13.410995,-2.038795 13.410995,-2.038795 17.829805,-6.459745 17.829805,-6.459745 13.410995))			Inverse-S Sigmoid	null	null	9.89757	null	null
SG	2013-09-02T14:44:20	POINT(535.1898 -221.649)	POLYGON((462.807 -290.5332,591.4152 -279.3204,602.418 -150.9234,471.4194 -162.2886,462.807 -290.5332))		POINT(34.4313 -7.49859)	POLYGON((29.64267 -11.471965,39.21993 -11.471965,39.21993 -3.525215,29.64267 -3.525215,29.64267 -11.471965))			Inverse-S Sigmoid	null	null	25.5622	null	null
